4.3553e-07,-0.12463,0.99397,-0.054687,-0.53403,0.51095,85.69,87.587,12.619,33.224,1.8628
4.3437e-07,-0.22239,0.99639,-0.053728,-0.53363,0.5106,85.718,87.515,12.592,33.211,1.8611
4.3323e-07,-0.20546,0.99822,-0.05235,-0.53328,0.51025,85.745,87.442,12.564,33.198,1.8595
4.321e-07,-0.18076,1,-0.049129,-0.53287,0.5099,85.773,87.37,12.537,33.184,1.8578
4.3099e-07,-0.26642,1.002,-0.044626,-0.5324,0.50956,85.8,87.299,12.51,33.17,1.8562
4.299e-07,-0.079084,1.0039,-0.037861,-0.53202,0.50921,85.828,87.228,12.483,33.156,1.8544
4.2882e-07,-0.055528,1.006,-0.02937,-0.53157,0.50886,85.855,87.157,12.457,33.141,1.8527
4.2776e-07,0.073566,1.0081,-0.02102,-0.53127,0.50851,85.883,87.086,12.431,33.126,1.8509
4.2671e-07,0.092312,1.0102,-0.013082,-0.53105,0.50816,85.91,87.016,12.405,33.111,1.8491
4.2568e-07,0.0010552,1.0124,-0.0042711,-0.53074,0.50781,85.938,86.947,12.379,33.095,1.8472
4.2467e-07,0.022165,1.0138,0.0050412,-0.53048,0.50746,85.965,86.877,12.354,33.079,1.8454
4.2367e-07,0.040359,1.0164,0.014889,-0.53018,0.50711,85.993,86.808,12.328,33.063,1.8435
4.2268e-07,0.05964,1.0194,0.025503,-0.52968,0.50676,86.02,86.74,12.303,33.046,1.8416
4.2172e-07,0.074433,1.0211,0.036294,-0.52927,0.50641,86.048,86.671,12.278,33.03,1.8396
4.2077e-07,0.08922,1.0232,0.046501,-0.52889,0.50606,86.075,86.603,12.254,33.012,1.8376
4.1983e-07,0.10539,1.0241,0.056815,-0.52808,0.50571,86.103,86.536,12.23,32.995,1.8356
4.1891e-07,0.11714,1.0258,0.065571,-0.52686,0.50536,86.13,86.469,12.205,32.977,1.8336
4.1801e-07,0.12132,1.0287,0.074115,-0.52621,0.50501,86.158,86.402,12.182,32.959,1.8315
4.1712e-07,0.21736,1.0305,0.080415,-0.52554,0.50466,86.185,86.336,12.158,32.94,1.8294
4.1625e-07,0.11406,1.0325,0.083228,-0.52472,0.50431,86.213,86.27,12.134,32.921,1.8272
4.1539e-07,0.012414,1.0343,0.084791,-0.52378,0.50396,86.24,86.204,12.111,32.902,1.8251
4.1455e-07,0.023433,1.0358,0.085598,-0.52287,0.50361,86.268,86.139,12.088,32.883,1.8229
4.1372e-07,-0.050838,1.0374,0.086576,-0.52197,0.50325,86.295,86.074,12.065,32.863,1.8207
4.1291e-07,-0.025457,1.0387,0.083904,-0.5212,0.5029,86.323,86.01,12.043,32.843,1.8184
4.1212e-07,-0.012057,1.0406,0.07704,-0.52016,0.50255,86.35,85.946,12.021,32.823,1.8161
4.1134e-07,0.094757,1.0424,0.068808,-0.51949,0.5022,86.378,85.883,11.998,32.802,1.8138
4.1057e-07,0.072515,1.0436,0.060482,-0.51884,0.50185,86.405,85.819,11.977,32.781,1.8115
4.0982e-07,-0.062297,1.0441,0.054172,-0.51817,0.50149,86.432,85.757,11.955,32.76,1.8091
4.0909e-07,-0.068632,1.0462,0.047991,-0.51697,0.50114,86.46,85.694,11.933,32.739,1.8068
4.0837e-07,-0.18323,1.0475,0.042768,-0.51605,0.50079,86.487,85.632,11.912,32.717,1.8043
4.0766e-07,-0.080113,1.0485,0.03752,-0.51612,0.50044,86.515,85.571,11.891,32.695,1.8019
4.0697e-07,0.23659,1.0499,0.032223,-0.51532,0.50008,86.542,85.51,11.87,32.672,1.7994
4.0629e-07,0.22882,1.0511,0.026729,-0.51445,0.49973,86.57,85.449,11.85,32.65,1.7969
4.0563e-07,0.22014,1.052,0.022227,-0.51418,0.49938,86.597,85.389,11.829,32.627,1.7944
4.0499e-07,0.32384,1.053,0.018339,-0.51355,0.49903,86.625,85.329,11.809,32.603,1.7918
4.0435e-07,0.32018,1.0534,0.014574,-0.51315,0.49868,86.652,85.27,11.789,32.58,1.7892
4.0374e-07,0.31591,1.0536,0.011329,-0.51289,0.49832,86.679,85.211,11.769,32.556,1.7866
4.0314e-07,0.2022,1.0541,0.0075739,-0.51223,0.49797,86.707,85.152,11.75,32.532,1.7839
4.0255e-07,0.1969,1.0547,0.0034523,-0.51138,0.49762,86.734,85.094,11.731,32.507,1.7813
4.0197e-07,0.19088,1.0553,-0.0011165,-0.5107,0.49727,86.762,85.036,11.711,32.483,1.7786
4.0142e-07,0.18239,1.0561,-0.0055575,-0.50947,0.49692,86.789,84.979,11.693,32.458,1.7758
4.0087e-07,0.17105,1.0565,-0.010684,-0.50866,0.49656,86.816,84.922,11.674,32.433,1.7731
4.0034e-07,0.2645,1.0572,-0.015742,-0.50746,0.49621,86.844,84.866,11.655,32.407,1.7703
3.9983e-07,0.14431,1.0584,-0.020565,-0.50637,0.49586,86.871,84.81,11.637,32.381,1.7675
3.9933e-07,0.24656,1.0591,-0.026673,-0.50539,0.49551,86.898,84.754,11.619,32.355,1.7647
3.9884e-07,0.24178,1.0599,-0.032598,-0.50445,0.49516,86.926,84.699,11.601,32.329,1.7618
3.9837e-07,0.12665,1.0606,-0.03658,-0.5036,0.49481,86.953,84.644,11.583,32.302,1.7589
3.9791e-07,0.12078,1.0613,-0.040209,-0.50272,0.49446,86.98,84.59,11.566,32.275,1.756
3.9746e-07,0.11569,1.0619,-0.043933,-0.50187,0.49411,87.008,84.536,11.549,32.248,1.753
3.9703e-07,0.11205,1.0626,-0.047233,-0.50117,0.49375,87.035,84.483,11.531,32.221,1.7501
3.9662e-07,0.21623,1.0631,-0.050093,-0.50051,0.4934,87.062,84.43,11.515,32.193,1.7471
3.9621e-07,0.21983,1.0637,-0.054195,-0.5,0.49305,87.089,84.377,11.498,32.165,1.744
3.9583e-07,0.25275,1.064,-0.059206,-0.49943,0.4927,87.117,84.325,11.481,32.137,1.741
3.9545e-07,0.26172,1.0646,-0.065498,-0.49877,0.49236,87.144,84.274,11.465,32.109,1.7379
3.9509e-07,0.16943,1.0651,-0.072128,-0.49792,0.49201,87.171,84.223,11.449,32.08,1.7348
3.9475e-07,0.17352,1.0655,-0.078648,-0.49716,0.49166,87.198,84.172,11.433,32.051,1.7317
3.9441e-07,0.27904,1.066,-0.08495,-0.49652,0.49131,87.226,84.122,11.417,32.022,1.7285
3.941e-07,0.27217,1.0678,-0.090612,-0.49614,0.49096,87.253,84.072,11.402,31.993,1.7254
3.9379e-07,0.26593,1.0681,-0.096474,-0.49561,0.49061,87.28,84.023,11.387,31.963,1.7222
3.935e-07,0.25644,1.0694,-0.10174,-0.49515,0.49026,87.307,83.974,11.371,31.933,1.7189
3.9322e-07,0.35561,1.0698,-0.10648,-0.49463,0.48992,87.335,83.926,11.357,31.903,1.7157
3.9296e-07,0.34256,1.0707,-0.11085,-0.49422,0.48957,87.362,83.878,11.342,31.872,1.7124
3.9271e-07,0.41633,1.0715,-0.11492,-0.49352,0.48922,87.389,83.83,11.327,31.842,1.7091
3.9247e-07,0.28804,1.0727,-0.12097,-0.4929,0.48888,87.416,83.783,11.313,31.811,1.7058
3.9225e-07,0.27693,1.0738,-0.12641,-0.49236,0.48853,87.443,83.737,11.299,31.78,1.7024
3.9204e-07,0.37613,1.075,-0.13118,-0.49171,0.48818,87.47,83.69,11.285,31.749,1.6991
3.9185e-07,0.36765,1.0764,-0.136,-0.49119,0.48784,87.497,83.645,11.271,31.717,1.6957
3.9166e-07,0.35648,1.0777,-0.14039,-0.49053,0.48749,87.524,83.6,11.257,31.685,1.6922
3.915e-07,0.23924,1.0796,-0.14431,-0.48967,0.48715,87.552,83.555,11.244,31.653,1.6888
3.9134e-07,0.2271,1.0812,-0.14708,-0.48894,0.48681,87.579,83.511,11.23,31.621,1.6853
3.912e-07,0.32706,1.0821,-0.14992,-0.488,0.48646,87.606,83.467,11.217,31.589,1.6818
3.9107e-07,0.31837,1.0844,-0.15133,-0.48718,0.48612,87.633,83.424,11.204,31.556,1.6783
3.9096e-07,0.31144,1.0859,-0.15127,-0.4865,0.48578,87.66,83.381,11.192,31.523,1.6748
3.9086e-07,0.41384,1.0874,-0.14976,-0.48577,0.48543,87.687,83.338,11.179,31.49,1.6713
3.9077e-07,0.19138,1.0896,-0.14708,-0.48499,0.48509,87.714,83.296,11.167,31.457,1.6677
3.9069e-07,0.075334,1.0915,-0.14277,-0.4845,0.48475,87.741,83.255,11.155,31.423,1.6641
