PC1,PC2,label
-1.341575638104825,-0.539147428795067,RMALOS
-1.2841158631468694,-0.4561242127941702,RMALOS
-1.4205364186767442,-0.41679810112952065,RMALOS
-1.409188599220712,-0.4186851338203351,RMALOS
-1.332396708350203,-0.3983943428731489,RMALOS
-1.4045838884931778,-0.5010702402976697,RMALOS
-1.3562246078373756,-0.5636338886307137,RMALOS
-1.4383044569648562,-0.4462266622193592,RMALOS
-1.2811391122351852,-0.35467204180984135,RMALOS
-1.2583402113578808,-0.42408033443888526,RMALOS
-1.3743192632980674,-0.37666731232202966,RMALOS
-1.4356872917866308,-0.47075610277057733,RMALOS
-1.3039548202640039,-0.5133968327615234,RMALOS
-1.331779719998111,-0.5424086023184734,RMALOS
-1.2944999512471171,-0.5826778389699729,RMALOS
-1.3922290391716678,-0.4577604029362985,RMALOS
-1.3713614946439443,-0.44735165920031517,RMALOS
-1.3182284453855189,-0.4753283171956869,RMALOS
-1.3097136437288655,-0.4693639337869817,RMALOS
-1.35492308782148,-0.6099045166829477,RMALOS
-1.2056074027982855,-0.5578906835248002,RMALOS
-1.4511723401636358,-0.4854962307434692,RMALOS
-1.379122267635683,-0.47887628032416824,RMALOS
-1.2373631396113112,-0.5422229540092546,RMALOS
-1.1370018167974911,-0.4238898421486317,RMALOS
-1.3125041799963557,-0.40872930576592115,RMALOS
-1.2913167355501944,-0.4867692247337524,RMALOS
-1.2305099273243532,-0.4698068823933792,RMALOS
-1.2499944924004986,-0.5104576845382524,RMALOS
-1.272996945693209,-0.48505659984305094,RMALOS
-1.2952527146568908,-0.5528374601903111,RMALOS
-1.2811920051263213,-0.5039753380389822,RMALOS
-1.2140225975505747,-0.5855166063090791,RMALOS
-1.322324684507358,-0.4790742281159963,RMALOS
-1.3993116564024566,-0.6752135066453124,RMALOS
-1.429468967255297,-0.48485945152451443,RMALOS
-1.1995575184768887,-0.5244992665195246,RMALOS
-1.1780843983806426,-0.5558153415866519,RMALOS
-1.292332683072428,-0.44339045588106885,RMALOS
-1.3389727538123757,-0.58812824395126,RMALOS
-1.301898397698007,-0.4723387313745804,RMALOS
-1.3667797569921822,-0.5456671872952388,RMALOS
-1.4035734021093194,-0.5097735790794627,RMALOS
-1.235236879396228,-0.5347363322626901,RMALOS
-1.2327099295280755,-0.5375402544574803,RMALOS
-1.2057607000172845,-0.5350600918222767,RMALOS
-1.3209836259316483,-0.5738866134162965,RMALOS
-1.1684843132178204,-0.4644791142164604,RMALOS
-1.292875898301805,-0.4403535663762127,RMALOS
-1.338769550566025,-0.5149050351860771,RMALOS
